IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150098373,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,12:45,NORTHERN,NONE,FRANKLIN ST / TURK ST,-122.42227702764,37.7817528767881,"(37.7817528767881, -122.42227702764)",15009837307021
150098464,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,11:45,NORTHERN,NONE,GROVE ST / VANNESS AV,-122.419884939457,37.7782510832412,"(37.7782510832412, -122.419884939457)",15009846407021
150098715,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,08:00,RICHMOND,UNFOUNDED,GOLDEN GATE AV / STANYAN ST,-122.455125552189,37.777023633257,"(37.777023633257, -122.455125552189)",15009871507021
150098743,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,01/28/2015,16:00,TARAVAL,NONE,LINCOLN WY / 38TH AV,-122.49761402653,37.7645433165084,"(37.7645433165084, -122.49761402653)",15009874307021
150099086,VEHICLE THEFT,STOLEN TRUCK,Sunday,02/01/2015,01:00,INGLESIDE,NONE,CRESCENT AV / PORTER ST,-122.418098776629,37.7349529289018,"(37.7349529289018, -122.418098776629)",15009908607025
150099230,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,18:00,CENTRAL,NONE,500 Block of COLUMBUS AV,-122.409576373262,37.7999519603954,"(37.7999519603954, -122.409576373262)",15009923007021
150099406,VEHICLE THEFT,STOLEN TRUCK,Sunday,02/01/2015,20:00,MISSION,NONE,24TH ST / LILAC ST,-122.417878226786,37.7522731644848,"(37.7522731644848, -122.417878226786)",15009940607025
150100570,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,00:05,PARK,NONE,BAKER ST / FELL ST,-122.440923876434,37.7736351065468,"(37.7736351065468, -122.440923876434)",15010057007021
150100940,VEHICLE THEFT,STOLEN TRUCK,Monday,02/02/2015,09:15,NORTHERN,NONE,1900 Block of LARKIN ST,-122.419955910836,37.7956830656712,"(37.7956830656712, -122.419955910836)",15010094007025
150100990,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,18:00,TARAVAL,NONE,FUNSTON AV / NORIEGA ST,-122.47000800007,37.7554018489917,"(37.7554018489917, -122.47000800007)",15010099007021
150101227,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,18:30,MISSION,NONE,FOLSOM ST / 18TH ST,-122.415000536786,37.7620990020681,"(37.7620990020681, -122.415000536786)",15010122707021
150101603,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,01/30/2015,16:00,NORTHERN,NONE,OAK ST / LAGUNA ST,-122.425891675136,37.7745985956747,"(37.7745985956747, -122.425891675136)",15010160307021
150101700,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,01/30/2015,20:00,CENTRAL,NONE,MASON ST / PACIFIC AV,-122.411721445339,37.7962908193522,"(37.7962908193522, -122.411721445339)",15010170007021
150102112,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,18:28,NORTHERN,NONE,100 Block of FELL ST,-122.420354123985,37.7763160310327,"(37.7763160310327, -122.420354123985)",15010211207021
150102281,VEHICLE THEFT,STOLEN TRUCK,Monday,02/02/2015,21:30,RICHMOND,NONE,3500 Block of CALIFORNIA ST,-122.452608514061,37.7865686524807,"(37.7865686524807, -122.452608514061)",15010228107025
150102532,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,23:00,INGLESIDE,NONE,700 Block of EDINBURGH ST,-122.435013421625,37.7173614845378,"(37.7173614845378, -122.435013421625)",15010253207021
150102930,VEHICLE THEFT,STOLEN TRUCK,Monday,02/02/2015,16:00,BAYVIEW,NONE,GOETTINGEN ST / WOOLSEY ST,-122.405571757226,37.7244624051911,"(37.7244624051911, -122.405571757226)",15010293007025
150103110,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,19:00,INGLESIDE,UNFOUNDED,100 Block of BROMPTON AV,-122.435141194073,37.7330256190757,"(37.7330256190757, -122.435141194073)",15010311007021
150103160,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,19:00,CENTRAL,NONE,SACRAMENTO ST / STOCKTON ST,-122.407729769991,37.7931773025837,"(37.7931773025837, -122.407729769991)",15010316007021
150103182,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,19:00,BAYVIEW,NONE,PHELPS ST / KIRKWOOD AV,-122.391834252347,37.7392287557084,"(37.7392287557084, -122.391834252347)",15010318207021
150103201,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,21:00,INGLESIDE,NONE,ALABAMA ST / MULLEN AV,-122.41056729237,37.7463239632666,"(37.7463239632666, -122.41056729237)",15010320107021
150103308,VEHICLE THEFT,STOLEN TRUCK,Monday,02/02/2015,17:00,BAYVIEW,NONE,200 Block of WHEELER AV,-122.399584775431,37.7125366588715,"(37.7125366588715, -122.399584775431)",15010330807025
150103336,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,01/31/2015,12:30,NORTHERN,NONE,1300 Block of FILBERT ST,-122.421730631824,37.7998502891642,"(37.7998502891642, -122.421730631824)",15010333607021
150103433,VEHICLE THEFT,STOLEN TRUCK,Friday,01/30/2015,21:45,PARK,NONE,DELMAR ST / PIEDMONT ST,-122.444929183098,37.765493106094,"(37.765493106094, -122.444929183098)",15010343307025
150103530,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Monday,02/02/2015,20:00,BAYVIEW,NONE,1400 Block of LASALLE AV,-122.386304220968,37.7349050342849,"(37.7349050342849, -122.386304220968)",15010353007020
150103530,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,20:00,BAYVIEW,NONE,1400 Block of LASALLE AV,-122.386304220968,37.7349050342849,"(37.7349050342849, -122.386304220968)",15010353007021
150103756,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,01/31/2015,18:00,NORTHERN,NONE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15010375607021
150103778,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,01/29/2015,10:00,NORTHERN,NONE,2400 Block of VANNESS AV,-122.424060357638,37.7980723406312,"(37.7980723406312, -122.424060357638)",15010377807021
150103778,VEHICLE THEFT,STOLEN TRUCK,Thursday,01/29/2015,10:00,NORTHERN,NONE,2400 Block of VANNESS AV,-122.424060357638,37.7980723406312,"(37.7980723406312, -122.424060357638)",15010377807025
150103784,VEHICLE THEFT,STOLEN TRUCK,Monday,02/02/2015,16:30,SOUTHERN,NONE,500 Block of MINNA ST,-122.409793939547,37.7791823933462,"(37.7791823933462, -122.409793939547)",15010378407025
150104033,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,02/02/2015,21:00,INGLESIDE,NONE,1400 Block of NOE ST,-122.4313595584,37.745426402054,"(37.745426402054, -122.4313595584)",15010403307023
150104083,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,21:00,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.389241311502,37.7368837969126,"(37.7368837969126, -122.389241311502)",15010408307021
150104635,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,02:00,BAYVIEW,NONE,1200 Block of FITZGERALD AV,-122.392216911504,37.7215602036508,"(37.7215602036508, -122.392216911504)",15010463507021
150104845,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,06:20,BAYVIEW,NONE,200 Block of BARNEVELD AV,-122.402841680867,37.7450364333137,"(37.7450364333137, -122.402841680867)",15010484507021
150105097,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,17:30,CENTRAL,NONE,JONES ST / PACIFIC AV,-122.415006296604,37.7958776753364,"(37.7958776753364, -122.415006296604)",15010509707021
150105445,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,05:30,TARAVAL,NONE,JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912705,37.7216221726261,"(37.7216221726261, -122.472321912705)",15010544507021
150105893,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,02/01/2015,23:00,INGLESIDE,NONE,700 Block of MOULTRIE ST,-122.416187526379,37.7354387951327,"(37.7354387951327, -122.416187526379)",15010589307023
150106089,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/03/2015,17:30,NORTHERN,NONE,POLK ST / GEARY ST,-122.419739837805,37.7858926099715,"(37.7858926099715, -122.419739837805)",15010608907025
150106261,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,02/01/2015,07:00,NORTHERN,NONE,1500 Block of UNION ST,-122.424808639628,37.7983917580329,"(37.7983917580329, -122.424808639628)",15010626107021
150106346,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/03/2015,19:00,NORTHERN,NONE,600 Block of WILLOW ST,-122.42831052169,37.7823629069329,"(37.7823629069329, -122.42831052169)",15010634607025
150106459,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,19:00,MISSION,NONE,BRYANT ST / 19TH ST,-122.409997302682,37.7604853376207,"(37.7604853376207, -122.409997302682)",15010645907021
150106590,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,20:00,TARAVAL,NONE,2500 Block of 15TH AV,-122.471227901179,37.7404281429428,"(37.7404281429428, -122.471227901179)",15010659007021
150106653,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/03/2015,19:00,INGLESIDE,NONE,300 Block of PRECITA AV,-122.41303432871,37.7467405576771,"(37.7467405576771, -122.41303432871)",15010665307025
150106738,VEHICLE THEFT,STOLEN AUTOMOBILE,Monday,02/02/2015,00:01,PARK,NONE,OAK ST / BRODERICK ST,-122.439088398996,37.7729208953381,"(37.7729208953381, -122.439088398996)",15010673807021
150106998,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Tuesday,02/03/2015,21:00,MISSION,NONE,2900 Block of 25TH ST,-122.4094512966,37.7512276969557,"(37.7512276969557, -122.4094512966)",15010699807020
150106998,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,21:00,MISSION,NONE,2900 Block of 25TH ST,-122.4094512966,37.7512276969557,"(37.7512276969557, -122.4094512966)",15010699807021
150107435,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,22:30,BAYVIEW,NONE,0 Block of WATERVILLE ST,-122.402686415572,37.7351567765722,"(37.7351567765722, -122.402686415572)",15010743507021
150107639,VEHICLE THEFT,STOLEN TRUCK,Tuesday,02/03/2015,13:30,TARAVAL,NONE,3900 Block of 19TH AV,-122.4720075569,37.7166731148325,"(37.7166731148325, -122.4720075569)",15010763907025
150108273,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,21:00,BAYVIEW,NONE,ILLINOIS ST / CESAR CHAVEZ ST,-122.386571215861,37.7503255046368,"(37.7503255046368, -122.386571215861)",15010827307021
150108596,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,01/25/2015,17:00,BAYVIEW,NONE,700 Block of JERROLD AV,-122.37337604924,37.7297692117678,"(37.7297692117678, -122.37337604924)",15010859607023
150108712,VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,01/31/2015,22:30,BAYVIEW,NONE,900 Block of GILMAN AV,-122.387479514747,37.7179319466469,"(37.7179319466469, -122.387479514747)",15010871207021
150108950,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,08:15,MISSION,NONE,200 Block of CLIPPER ST,-122.430557516763,37.7491465739574,"(37.7491465739574, -122.430557516763)",15010895007021
150109146,VEHICLE THEFT,STOLEN AUTOMOBILE,Tuesday,02/03/2015,14:30,NORTHERN,NONE,1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15010914607021
150109334,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,02/04/2015,18:40,SOUTHERN,NONE,500 Block of BRYANT ST,-122.397501734179,37.7800859438702,"(37.7800859438702, -122.397501734179)",15010933407020
150109334,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,18:40,SOUTHERN,NONE,500 Block of BRYANT ST,-122.397501734179,37.7800859438702,"(37.7800859438702, -122.397501734179)",15010933407021
150109588,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,15:30,INGLESIDE,NONE,100 Block of RUTLAND ST,-122.405527956606,37.7169479263456,"(37.7169479263456, -122.405527956606)",15010958807025
150109657,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,17:41,CENTRAL,NONE,BAY ST / MASON ST,-122.413609602048,37.8056188797632,"(37.8056188797632, -122.413609602048)",15010965707021
150109873,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,06:50,MISSION,NONE,SOUTH VAN NESS AV / ADAIR ST,-122.417544571802,37.7657522481585,"(37.7657522481585, -122.417544571802)",15010987307021
150110080,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,20:00,SOUTHERN,NONE,HOWARD ST / 3RD ST,-122.400473580152,37.7850290611875,"(37.7850290611875, -122.400473580152)",15011008007021
150110193,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,19:30,INGLESIDE,NONE,400 Block of PARIS ST,-122.435066260529,37.7216178242752,"(37.7216178242752, -122.435066260529)",15011019307021
150110290,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,02/04/2015,23:15,PARK,NONE,0 Block of KNOLLVIEW WY,-122.450994597258,37.7500311728466,"(37.7500311728466, -122.450994597258)",15011029007020
150110290,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,23:15,PARK,NONE,0 Block of KNOLLVIEW WY,-122.450994597258,37.7500311728466,"(37.7500311728466, -122.450994597258)",15011029007021
150110331,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,20:00,BAYVIEW,NONE,200 Block of WHEELER AV,-122.399584775431,37.7125366588715,"(37.7125366588715, -122.399584775431)",15011033107021
150110397,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,18:30,RICHMOND,NONE,SPRUCE ST / EUCLID AV,-122.4536561864,37.7840526743018,"(37.7840526743018, -122.4536561864)",15011039707021
150110466,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,01/29/2015,08:00,BAYVIEW,NONE,25TH ST / MISSISSIPPI ST,-122.393621427055,37.75248687189,"(37.75248687189, -122.393621427055)",15011046607021
150110488,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,02/04/2015,17:50,RICHMOND,NONE,800 Block of 37TH AV,-122.497044392687,37.7729011034229,"(37.7729011034229, -122.497044392687)",15011048807021
150110535,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,20:00,TARAVAL,NONE,1200 Block of 46TH AV,-122.506054933005,37.763210588602,"(37.763210588602, -122.506054933005)",15011053507025
150110632,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,08:00,BAYVIEW,NONE,800 Block of GIRARD ST,-122.402390932043,37.7218958376193,"(37.7218958376193, -122.402390932043)",15011063207021
150110961,VEHICLE THEFT,STOLEN TRUCK,Wednesday,02/04/2015,21:00,NORTHERN,NONE,2700 Block of PIERCE ST,-122.438430433699,37.7952917573674,"(37.7952917573674, -122.438430433699)",15011096107025
150111000,VEHICLE THEFT,STOLEN MISCELLANEOUS VEHICLE,Monday,02/02/2015,15:00,TARAVAL,NONE,0 Block of CAMBON DR,-122.474444639595,37.718302204766,"(37.718302204766, -122.474444639595)",15011100007026
150112519,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,02/05/2015,07:55,MISSION,NONE,15TH ST / POTRERO AV,-122.407685897302,37.7670824029841,"(37.7670824029841, -122.407685897302)",15011251907021
150112729,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,02/05/2015,19:30,NORTHERN,NONE,1600 Block of VANNESS AV,-122.422595167172,37.7908192261207,"(37.7908192261207, -122.422595167172)",15011272907023
150112848,VEHICLE THEFT,STOLEN TRUCK,Thursday,02/05/2015,20:30,SOUTHERN,NONE,400 Block of THE EMBARCADEROSOUTH ST,-122.39670853026,37.7978728855933,"(37.7978728855933, -122.39670853026)",15011284807025
150112876,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,02/05/2015,19:45,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,"(37.7657184395282, -122.409529913278)",15011287607023
